fromNode	toNode	weight	direction	fromAltName	toAltName
Glycerol 3-phosphate	Mulberrin	0.912053884747022	undirected	Glycerol 3-phosphate	Mulberrin
Glycerol 3-phosphate	Limocitrin	0.642820936174471	undirected	Glycerol 3-phosphate	Limocitrin
Glycerol 3-phosphate	Indole-3-methyl acetate	0.0470878642962381	undirected	Glycerol 3-phosphate	Indole-3-methyl acetate
Glycerol 3-phosphate	1,2,3-Propanetricarboxylic acid	0.912053884747022	undirected	Glycerol 3-phosphate	1,2,3-Propanetricarboxylic acid
Glycerol 3-phosphate	4-tert-Butylphenol	0.912053884747022	undirected	Glycerol 3-phosphate	4-tert-Butylphenol
Glycerol 3-phosphate	p-Hydroxyhippuric acid	0.912053884747022	undirected	Glycerol 3-phosphate	p-Hydroxyhippuric acid
Glycerol 3-phosphate	Hesperetin 7-neohesperidoside	0.912053884747022	undirected	Glycerol 3-phosphate	Hesperetin 7-neohesperidoside
Glycerol 3-phosphate	Vanillin 4-sulfate	0.912053884747022	undirected	Glycerol 3-phosphate	Vanillin 4-sulfate
Glycerol 3-phosphate	Cyclic AMP	0.641464750113867	undirected	Glycerol 3-phosphate	Cyclic AMP
Glycerol 3-phosphate	gamma-Aminobutyric acid	0.272254124604806	undirected	Glycerol 3-phosphate	gamma-Aminobutyric acid
Glycerol 3-phosphate	Methylmalonic acid	0.912053884747022	undirected	Glycerol 3-phosphate	Methylmalonic acid
Glycerol 3-phosphate	Oleic acid	0.238616704015943	undirected	Glycerol 3-phosphate	Oleic acid
Glycerol 3-phosphate	Orotic acid	0.725549065717939	undirected	Glycerol 3-phosphate	Orotic acid
Glycerol 3-phosphate	Pyridoxine	0.235410709554635	undirected	Glycerol 3-phosphate	Pyridoxine
Glycerol 3-phosphate	Sphinganine	0.56714144939082	undirected	Glycerol 3-phosphate	Sphinganine
Glycerol 3-phosphate	17alpha-Estradiol	0.912053884747022	undirected	Glycerol 3-phosphate	17alpha-Estradiol
Glycerol 3-phosphate	Indolelactic acid	0.743621376117087	undirected	Glycerol 3-phosphate	Indolelactic acid
Glycerol 3-phosphate	Linoleic acid	0.200106458392308	undirected	Glycerol 3-phosphate	Linoleic acid
Glycerol 3-phosphate	Hydroxyoctanoic acid	0.912053884747022	undirected	Glycerol 3-phosphate	Hydroxyoctanoic acid
Glycerol 3-phosphate	L-Pipecolic acid	0.444839122941384	undirected	Glycerol 3-phosphate	L-Pipecolic acid
Glycerol 3-phosphate	Pelargonic acid	0.269238848161896	undirected	Glycerol 3-phosphate	Pelargonic acid
